epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,65.79507446289062,,,,,
0,19,,52.803226470947266,,,,,
0,28,,,50.630374908447266,499837856.0,54.79387664794922,0.9423041939735413,54.79387664794922
0,28,52.99620056152344,,,,,,
1,29,,50.97541427612305,,,,,
1,39,,38.97880935668945,,,,,
1,49,,36.590370178222656,,,,,
1,57,,,49.57848358154297,403952192.0,53.62065887451172,0.9497636556625366,53.62065887451172
1,57,45.65753936767578,,,,,,
2,59,,34.50837707519531,,,,,
2,69,,38.15790557861328,,,,,
2,79,,35.3702392578125,,,,,
2,86,,,46.213619232177734,158218080.0,51.475914001464844,1.0048229694366455,51.475914001464844
2,86,40.00583267211914,,,,,,
3,89,,35.04657745361328,,,,,
3,99,,51.102569580078125,,,,,
3,109,,26.58965301513672,,,,,
3,115,,,50.62868118286133,69371512.0,56.98683166503906,1.3448655605316162,56.98683166503906
3,115,33.83232879638672,,,,,,
4,119,,25.605497360229492,,,,,
4,129,,27.82488441467285,,,,,
4,139,,22.49374008178711,,,,,
4,144,,,44.55771255493164,73356368.0,50.2152099609375,1.099683165550232,50.2152099609375
4,144,28.132877349853516,,,,,,
5,149,,19.157541275024414,,,,,
5,159,,28.271451950073242,,,,,
5,169,,21.596132278442383,,,,,
5,173,,,44.92640686035156,128350032.0,50.806610107421875,1.034377098083496,50.806610107421875
5,173,26.352710723876953,,,,,,
6,179,,20.306564331054688,,,,,
6,189,,22.415420532226562,,,,,
6,199,,14.309433937072754,,,,,
6,202,,,43.450645446777344,140274816.0,48.540863037109375,1.1198444366455078,48.540863037109375
6,202,21.43221092224121,,,,,,
7,209,,18.715662002563477,,,,,
7,219,,18.078948974609375,,,,,
7,229,,16.12981605529785,,,,,
7,231,,,50.835941314697266,278909856.0,56.66720962524414,1.2148487567901611,56.66720962524414
7,231,18.395572662353516,,,,,,
8,239,,16.103206634521484,,,,,
8,249,,16.730384826660156,,,,,
8,259,,15.014301300048828,,,,,
8,260,,,52.56831359863281,131653344.0,58.622642517089844,1.3270423412322998,58.622642517089844
8,260,15.41539192199707,,,,,,
9,269,,13.301944732666016,,,,,
9,279,,10.754923820495605,,,,,
9,289,,10.880373001098633,,,,,
9,289,,,35.3143196105957,184279024.0,40.994171142578125,1.062434434890747,40.994171142578125
9,289,14.431488037109375,,,,,,
10,299,,13.414769172668457,,,,,
10,309,,13.650390625,,,,,
10,318,,,47.556549072265625,101319600.0,53.56452560424805,1.1993259191513062,53.56452560424805
10,318,12.89886474609375,,,,,,
11,319,,14.061249732971191,,,,,
11,329,,13.939583778381348,,,,,
11,339,,10.361984252929688,,,,,
11,347,,,48.18976974487305,133289008.0,55.03868865966797,1.2352633476257324,55.03868865966797
11,347,13.42757511138916,,,,,,
12,349,,15.78664493560791,,,,,
12,359,,11.33731746673584,,,,,
12,369,,11.810771942138672,,,,,
12,376,,,39.69804000854492,165599152.0,46.48372268676758,1.098201036453247,46.48372268676758
12,376,12.504600524902344,,,,,,
13,379,,15.781817436218262,,,,,
13,389,,11.886300086975098,,,,,
13,399,,9.692489624023438,,,,,
13,405,,,42.6072998046875,90615432.0,48.49082565307617,1.0731194019317627,48.49082565307617
13,405,12.612455368041992,,,,,,
14,409,,9.146153450012207,,,,,
14,419,,9.217745780944824,,,,,
14,429,,9.362418174743652,,,,,
14,434,,,33.49309539794922,159734656.0,40.2452507019043,0.992853581905365,40.2452507019043
14,434,10.64157485961914,,,,,,
