epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,0.4258570373058319,,,,,
0,19,,0.45079270005226135,,,,,
0,29,,0.43034666776657104,,,,,
0,39,,0.3354572653770447,,,,,
0,49,,0.41463401913642883,,,,,
0,49,,,0.3626481294631958,90345.84375,0.3670074939727783,1.0940754413604736,0.3670074939727783
0,49,0.40291863679885864,,,,,,
1,59,,0.42282572388648987,,,,,
1,69,,0.358879417181015,,,,,
1,79,,0.3956649601459503,,,,,
1,89,,0.4268767237663269,,,,,
1,99,,0.39159494638442993,,,,,
1,99,,,0.3504719138145447,104757.203125,0.35446152091026306,1.0290594100952148,0.35446152091026306
1,99,0.3892163932323456,,,,,,
2,109,,0.3689064681529999,,,,,
2,119,,0.417255163192749,,,,,
2,129,,0.3384925127029419,,,,,
2,139,,0.3690835237503052,,,,,
2,149,,0.3449247181415558,,,,,
2,149,,,0.33882126212120056,119033.421875,0.3424728810787201,0.97183758020401,0.3424728810787201
2,149,0.3765784204006195,,,,,,
3,159,,0.3512111306190491,,,,,
3,169,,0.3704788386821747,,,,,
3,179,,0.3368472158908844,,,,,
3,189,,0.3973580598831177,,,,,
3,199,,0.33889514207839966,,,,,
3,199,,,0.32763662934303284,133323.40625,0.3310050666332245,0.9206825494766235,0.3310050666332245
3,199,0.3666882812976837,,,,,,
4,209,,0.35160189867019653,,,,,
4,219,,0.3358013331890106,,,,,
4,229,,0.3305113613605499,,,,,
4,239,,0.37406060099601746,,,,,
4,249,,0.36483436822891235,,,,,
4,249,,,0.31694889068603516,147496.78125,0.32011398673057556,0.8750236630439758,0.32011398673057556
4,249,0.3536125123500824,,,,,,
5,259,,0.3730030059814453,,,,,
5,269,,0.3264484703540802,,,,,
5,279,,0.3396008014678955,,,,,
5,289,,0.3477344512939453,,,,,
5,299,,0.366062194108963,,,,,
5,299,,,0.306748628616333,161537.0,0.3097597062587738,0.8340932726860046,0.3097597062587738
5,299,0.3429594039916992,,,,,,
