epoch,nasa_weight,train_loss,train_weighted_loss,val_loss,learning_rate
1,4.0,301508.7105744406,305237.9495481928,369714.6411805973,0.0009990133642141358
2,4.0,292951.3858111015,295939.5389952668,354081.924884912,0.000996057350657239
3,4.0,275302.754302926,277289.97181583475,325692.68165812077,0.0009911436253643444
4,4.0,247597.12901606425,249231.38500430292,285418.0968998248,0.0009842915805643156
5,4.0,210584.51923766494,212019.36374067698,234772.63759625872,0.0009755282581475769
6,4.0,168641.3707015562,171061.21651785713,180338.345360304,0.0009648882429441258
7,4.0,123742.78604148737,124862.4999103557,126451.18563082001,0.0009524135262330099
8,4.0,82510.91244217943,83030.29140445711,84563.12695131141,0.0009381533400219318
9,4.0,51591.20042446572,52021.21120195066,51065.93380508606,0.0009221639627510075
10,4.0,30509.991811554253,30859.06702703672,34994.090692041325,0.0009045084971874736
11,4.0,17882.97996618169,18198.45227001757,23508.596676127007,0.0008852566213878945
12,4.0,11807.365290962958,12265.084591154799,12815.418998706593,0.0008644843137107056
13,4.0,7042.949194938235,7444.032875643198,10235.305591519076,0.0008422735529643443
14,4.0,4572.911552179701,4840.100621515078,7271.562665062959,0.0008187119948743448
15,4.0,3357.5213994930614,3659.156567676958,6005.954948386954,0.0007938926261462366
16,4.0,2529.9832957667722,2802.311977681933,8119.50807932378,0.0007679133974894982
17,4.0,1974.8144693730278,2195.973049004052,5255.7111316870105,0.0007408768370508576
18,4.0,1588.8636213380307,1806.7531605215504,6114.878952829812,0.0007128896457825362
19,4.0,1567.6755127373333,1829.1834422651543,4575.9052341920415,0.0006840622763423389
20,4.0,1375.594002754881,1585.4864403204335,5178.01003244878,0.0006545084971874735
21,4.0,1180.7159488259958,1432.5113683668826,5195.070711635517,0.0006243449435824271
22,4.0,1095.676137866197,1319.8510174206872,4734.799006789851,0.0005936906572928622
23,4.0,1029.880123941637,1229.9704453276274,4540.284222053393,0.000562666616782152
24,4.0,824.5570884262496,1022.0029763305454,5675.133544221778,0.0005313952597646566
25,4.0,833.2349458520466,1019.3848437836166,4555.635598234144,0.0004999999999999998
26,4.0,759.6659829538578,931.7281859721251,5824.998287755171,0.00046860474023534314
27,4.0,743.4063413601392,912.2054397136537,4857.430465748249,0.00043733338321784774
28,4.0,607.15793167088,767.2224848052927,4453.991724902323,0.00040630934270713756
29,4.0,672.9434613103642,877.7458366529735,5963.177195566722,0.00037565505641757246
30,4.0,608.2443483476316,765.09270998615,5880.47641226577,0.00034549150281252633
31,4.0,576.9693927775835,740.8729374109159,4425.048020826043,0.00031593772365766105
32,4.0,697.4493160980977,843.3503726121002,5030.518613915739,0.00028711035421746355
33,4.0,580.0553413080335,716.3274636282295,4683.652898220456,0.0002591231629491422
34,4.0,569.7686857222417,695.0817493607242,4539.737091537852,0.00023208660251050145
35,4.0,545.3567758758247,671.5150339079532,4801.220192827354,0.00020610737385376337
36,4.0,531.7069101601719,674.717932976325,5401.933240580876,0.00018128800512565502
37,4.0,467.55019015795324,601.7327741490516,4806.551908206752,0.00015772644703565555
38,4.0,482.635546913519,597.9052442330707,5094.505283814943,0.00013551568628929425
39,4.0,482.4635965037606,612.409962884462,4823.039184016902,0.00011474337861210535
