epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,0.33950531482696533,,,,,
0,19,,0.2530648708343506,,,,,
0,29,,0.21461008489131927,,,,,
0,30,,,0.2076585292816162,4260719.5,0.23367731273174286,0.8260992169380188,0.23367731273174286
0,30,0.3373755216598511,,,,,,
1,39,,0.25612348318099976,,,,,
1,49,,0.24312718212604523,,,,,
1,59,,0.2085430771112442,,,,,
1,61,,,0.14927218854427338,1437539.0,0.16871492564678192,0.7918399572372437,0.16871492564678192
1,61,0.22857420146465302,,,,,,
2,69,,0.24220538139343262,,,,,
2,79,,0.20353512465953827,,,,,
2,89,,0.20613688230514526,,,,,
2,92,,,0.11997378617525101,1460037.875,0.137710303068161,0.6795512437820435,0.137710303068161
2,92,0.21293972432613373,,,,,,
3,99,,0.23570744693279266,,,,,
3,109,,0.24129709601402283,,,,,
3,119,,0.2319301813840866,,,,,
3,123,,,0.14564619958400726,2070825.375,0.16667108237743378,0.7361150979995728,0.16667108237743378
3,123,0.2300703376531601,,,,,,
4,129,,0.24729415774345398,,,,,
4,139,,0.20232391357421875,,,,,
4,149,,0.1970255821943283,,,,,
4,154,,,0.14145156741142273,2997628.0,0.1639387011528015,0.7138023376464844,0.1639387011528015
4,154,0.19941924512386322,,,,,,
5,159,,0.18902021646499634,,,,,
5,169,,0.15793541073799133,,,,,
5,179,,0.19539228081703186,,,,,
5,185,,,0.15059639513492584,2343052.75,0.17590364813804626,0.7172749042510986,0.17590364813804626
5,185,0.17514845728874207,,,,,,
