epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,0.6063527464866638,,,,,
0,19,,0.49740070104599,,,,,
0,29,,0.465562641620636,,,,,
0,39,,0.38121646642684937,,,,,
0,49,,0.2859167158603668,,,,,
0,51,,,0.24528849124908447,623531.0625,0.24869266152381897,0.6209402680397034,0.24869266152381897
0,51,0.454239159822464,,,,,,
1,59,,0.30318379402160645,,,,,
1,69,,0.24206313490867615,,,,,
1,79,,0.216467946767807,,,,,
1,89,,0.15300573408603668,,,,,
1,99,,0.15321500599384308,,,,,
1,103,,,0.08206860721111298,390816.46875,0.08771966397762299,0.28450873494148254,0.08771966397762299
1,103,0.21657408773899078,,,,,,
2,109,,0.15766167640686035,,,,,
2,119,,0.14280810952186584,,,,,
2,129,,0.16364502906799316,,,,,
2,139,,0.13520236313343048,,,,,
2,149,,0.1449807733297348,,,,,
2,155,,,0.07247649878263474,231457.578125,0.07724989950656891,0.2698396146297455,0.07724989950656891
2,155,0.13937915861606598,,,,,,
3,159,,0.15590383112430573,,,,,
3,169,,0.1250244826078415,,,,,
3,179,,0.12242822349071503,,,,,
3,189,,0.10644698143005371,,,,,
3,199,,0.10918692499399185,,,,,
3,207,,,0.06677570939064026,197646.96875,0.07119892537593842,0.2621162533760071,0.07119892537593842
3,207,0.11869111657142639,,,,,,
4,209,,0.1244627833366394,,,,,
4,219,,0.1095709502696991,,,,,
4,229,,0.09812217950820923,,,,,
4,239,,0.1096058338880539,,,,,
4,249,,0.08836132287979126,,,,,
4,259,,0.11544784158468246,,,,,
4,259,,,0.0532398447394371,217412.421875,0.05725618451833725,0.24061329662799835,0.05725618451833725
4,259,0.1083364188671112,,,,,,
5,269,,0.0929715633392334,,,,,
5,279,,0.09254356473684311,,,,,
5,289,,0.11209926754236221,,,,,
5,299,,0.09877419471740723,,,,,
5,309,,0.09662432968616486,,,,,
5,311,,,0.046755023300647736,172625.828125,0.05031626671552658,0.2193741351366043,0.05031626671552658
5,311,0.09733234345912933,,,,,,
6,319,,0.09333058446645737,,,,,
6,329,,0.08838728815317154,,,,,
6,339,,0.08799893409013748,,,,,
6,349,,0.08397742360830307,,,,,
6,359,,0.07456406950950623,,,,,
6,363,,,0.0477297268807888,181882.25,0.05136922374367714,0.23379923403263092,0.05136922374367714
6,363,0.09031803905963898,,,,,,
7,369,,0.09711991995573044,,,,,
7,379,,0.06724084168672562,,,,,
7,389,,0.08851167559623718,,,,,
7,399,,0.08515303581953049,,,,,
7,409,,0.07466116547584534,,,,,
7,415,,,0.04675062373280525,167105.5625,0.0501665435731411,0.2331295609474182,0.0501665435731411
7,415,0.08493438363075256,,,,,,
8,419,,0.08585518598556519,,,,,
8,429,,0.08489711582660675,,,,,
8,439,,0.08924998342990875,,,,,
8,449,,0.08300450444221497,,,,,
8,459,,0.08245959877967834,,,,,
8,467,,,0.04210130125284195,138799.828125,0.04565946012735367,0.21207201480865479,0.04565946012735367
8,467,0.08067411929368973,,,,,,
9,469,,0.07589448988437653,,,,,
9,479,,0.07142273336648941,,,,,
9,489,,0.07482019811868668,,,,,
9,499,,0.07768035680055618,,,,,
9,509,,0.06033554673194885,,,,,
9,519,,0.06609312444925308,,,,,
9,519,,,0.04484429210424423,157300.46875,0.04814592003822327,0.2289314866065979,0.04814592003822327
9,519,0.07528508454561234,,,,,,
10,529,,0.07406558841466904,,,,,
10,539,,0.08516738563776016,,,,,
10,549,,0.07181310653686523,,,,,
10,559,,0.06893216818571091,,,,,
10,569,,0.06510483473539352,,,,,
10,571,,,0.04467510059475899,148478.84375,0.04800384119153023,0.22303904592990875,0.04800384119153023
10,571,0.07375183701515198,,,,,,
11,579,,0.06893038749694824,,,,,
