direction,zero_shot_rmse_cycles,transfer_finetune_rmse_cycles,target_only_rmse_cycles,transfer_vs_target_only_rmse_delta,transfer_vs_target_only_rmse_pct,target_train_battery_ids,target_test_battery_ids,target_simulation_battery_ids,source_feature_scaler_fit_ids,target_feature_scaler_fit_ids,source_vae_checkpoint,source_tft_best_checkpoint,source_tft_last_checkpoint,transfer_tft_best_checkpoint,transfer_tft_last_checkpoint,target_only_tft_best_checkpoint,target_only_tft_last_checkpoint
nasa_to_hnei,514.3201216168778,420.46934341281053,87.29756157999202,333.1717818328185,-381.6507309056146,"hnei_1, hnei_3, hnei_6","hnei_0, hnei_5, hnei_7",hnei_13,"nasa_14, nasa_15, nasa_18, nasa_19, nasa_20, nasa_21, nasa_23, nasa_24, nasa_28, nasa_30, nasa_31, nasa_32, nasa_36, nasa_37, nasa_39, nasa_42, nasa_43, nasa_44, nasa_45, nasa_46","hnei_1, hnei_3, hnei_6",model_checkpoints/vae_nasa_to_hnei.pt,lightning_logs/tft_vae_source_nasa_to_hnei/version_5/checkpoints/tft_vae_source_nasa_to_hnei-epoch=02-val_loss=0.2711.ckpt,lightning_logs/tft_vae_source_nasa_to_hnei/version_5/checkpoints/last.ckpt,lightning_logs/tft_vae_finetune_nasa_to_hnei/version_5/checkpoints/tft_vae_finetune_nasa_to_hnei-epoch=05-val_loss=0.3170.ckpt,lightning_logs/tft_vae_finetune_nasa_to_hnei/version_5/checkpoints/last.ckpt,lightning_logs/tft_target_only_nasa_to_hnei/version_2/checkpoints/tft_target_only_nasa_to_hnei-epoch=08-val_loss=0.0395.ckpt,lightning_logs/tft_target_only_nasa_to_hnei/version_2/checkpoints/last.ckpt
hnei_to_nasa,82.88533942855938,79.96065011245375,36.41042425103867,43.55022586141508,-119.6092238891524,"nasa_15, nasa_24, nasa_31, nasa_32, nasa_43, nasa_44, nasa_46","nasa_22, nasa_29, nasa_33, nasa_35, nasa_38, nasa_40, nasa_41",nasa_47,"hnei_1, hnei_10, hnei_12, hnei_2, hnei_3, hnei_4, hnei_6","nasa_15, nasa_24, nasa_31, nasa_32, nasa_43, nasa_44, nasa_46",model_checkpoints/vae_hnei_to_nasa.pt,lightning_logs/tft_vae_source_hnei_to_nasa/version_7/checkpoints/tft_vae_source_hnei_to_nasa-epoch=02-val_loss=0.0409.ckpt,lightning_logs/tft_vae_source_hnei_to_nasa/version_7/checkpoints/last.ckpt,lightning_logs/tft_vae_finetune_hnei_to_nasa/version_5/checkpoints/tft_vae_finetune_hnei_to_nasa-epoch=05-val_loss=0.3521.ckpt,lightning_logs/tft_vae_finetune_hnei_to_nasa/version_5/checkpoints/last.ckpt,lightning_logs/tft_target_only_hnei_to_nasa/version_2/checkpoints/tft_target_only_hnei_to_nasa-epoch=09-val_loss=0.3104.ckpt,lightning_logs/tft_target_only_hnei_to_nasa/version_2/checkpoints/last.ckpt
