stage,mae,rmse,r2,mae_scaled,rmse_scaled,r2_scaled,source_cell,target_train_cells,target_val_cells,target_test_cells,vae_checkpoint,source_tft_checkpoint,finetuned_tft_checkpoint
before_finetuning,267.0216064453125,324.5423580790341,-0.1077582836151123,0.26307544112205505,0.3197461680912665,-0.1077582836151123,cell_005,"cell_013, cell_025","cell_010, cell_023, cell_041","cell_001, cell_002, cell_003, cell_004, cell_006, cell_008, cell_009, cell_011, cell_014, cell_015, cell_024, cell_030, cell_032, cell_042",model_checkpoints/tft_vae_features_transfer/source_one_cell_vae.pt,model_checkpoints/tft_vae_features_transfer/source_one_cell_tft.ckpt,model_checkpoints/tft_vae_features_transfer/finetuned_tft.ckpt
after_finetuning,259.6040344238281,313.5776543577364,-0.034171223640441895,0.2557675242424011,0.30894350198699233,-0.034171223640441895,cell_005,"cell_013, cell_025","cell_010, cell_023, cell_041","cell_001, cell_002, cell_003, cell_004, cell_006, cell_008, cell_009, cell_011, cell_014, cell_015, cell_024, cell_030, cell_032, cell_042",model_checkpoints/tft_vae_features_transfer/source_one_cell_vae.pt,model_checkpoints/tft_vae_features_transfer/source_one_cell_tft.ckpt,model_checkpoints/tft_vae_features_transfer/finetuned_tft.ckpt
