epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,0.46704959869384766,,,,,
0,19,,0.2010982632637024,,,,,
0,29,,0.15457315742969513,,,,,
0,39,,0.14074863493442535,,,,,
0,49,,0.09818077087402344,,,,,
0,59,,0.15110784769058228,,,,,
0,69,,0.10642563551664352,,,,,
0,79,,0.08175168186426163,,,,,
0,89,,0.08384870737791061,,,,,
0,99,,0.08791368454694748,,,,,
0,109,,0.06570161879062653,,,,,
0,116,,,0.05021049827337265,79527.15625,0.054814308881759644,0.25194814801216125,0.054814308881759644
0,116,0.15783841907978058,,,,,,
1,119,,0.06870759278535843,,,,,
1,129,,0.06236594542860985,,,,,
1,139,,0.07514055073261261,,,,,
1,149,,0.07575418055057526,,,,,
1,159,,0.06928803026676178,,,,,
1,169,,0.0825444757938385,,,,,
1,179,,0.08203671872615814,,,,,
1,189,,0.06794971972703934,,,,,
1,199,,0.06007954105734825,,,,,
1,209,,0.07971939444541931,,,,,
1,219,,0.07951559126377106,,,,,
1,229,,0.06362752616405487,,,,,
1,233,,,0.043471720069646835,23455.234375,0.04917512089014053,0.263458251953125,0.04917512089014053
1,233,0.07075215876102448,,,,,,
2,239,,0.06805390119552612,,,,,
2,249,,0.06500818580389023,,,,,
2,259,,0.09078186005353928,,,,,
2,269,,0.07317469269037247,,,,,
2,279,,0.08841878920793533,,,,,
2,289,,0.06509719789028168,,,,,
2,299,,0.06933523714542389,,,,,
2,309,,0.06064016744494438,,,,,
2,319,,0.06988333910703659,,,,,
2,329,,0.09224013239145279,,,,,
2,339,,0.06522683799266815,,,,,
2,349,,0.0821746215224266,,,,,
2,350,,,0.052806757390499115,65410.5625,0.057369332760572433,0.23931409418582916,0.057369332760572433
2,350,0.07125362753868103,,,,,,
3,359,,0.06267201900482178,,,,,
3,369,,0.08991894125938416,,,,,
3,379,,0.0646878182888031,,,,,
3,389,,0.0595640167593956,,,,,
3,399,,0.07189611345529556,,,,,
3,409,,0.06124116852879524,,,,,
3,419,,0.0533074252307415,,,,,
3,429,,0.07623220980167389,,,,,
3,439,,0.06474620848894119,,,,,
3,449,,0.0598866268992424,,,,,
3,459,,0.06879319250583649,,,,,
3,467,,,0.04041251167654991,71330.6640625,0.045485205948352814,0.1856263428926468,0.045485205948352814
3,467,0.06514764577150345,,,,,,
4,469,,0.0636875182390213,,,,,
4,479,,0.06856163591146469,,,,,
4,489,,0.058556217700242996,,,,,
4,499,,0.06531320512294769,,,,,
4,509,,0.059110067784786224,,,,,
4,519,,0.04464039206504822,,,,,
4,529,,0.07216691225767136,,,,,
4,539,,0.04825849086046219,,,,,
4,549,,0.052634965628385544,,,,,
4,559,,0.05426669865846634,,,,,
4,569,,0.07250520586967468,,,,,
4,579,,0.05101948231458664,,,,,
4,584,,,0.06535911560058594,64823.38671875,0.07035189867019653,0.2510635256767273,0.07035189867019653
4,584,0.061231523752212524,,,,,,
5,589,,0.073247991502285,,,,,
5,599,,0.055126454681158066,,,,,
5,609,,0.08532916009426117,,,,,
5,619,,0.06825461983680725,,,,,
5,629,,0.05900336056947708,,,,,
5,639,,0.06420867145061493,,,,,
5,649,,0.0746476948261261,,,,,
5,659,,0.05753985047340393,,,,,
5,669,,0.06634064763784409,,,,,
5,679,,0.07225646078586578,,,,,
5,689,,0.09204097092151642,,,,,
5,699,,0.07586542516946793,,,,,
5,701,,,0.05660705268383026,51999.06640625,0.0614347830414772,0.22057555615901947,0.0614347830414772
5,701,0.06793898344039917,,,,,,
6,709,,0.05970773100852966,,,,,
6,719,,0.07379348576068878,,,,,
6,729,,0.05048021301627159,,,,,
6,739,,0.07924212515354156,,,,,
6,749,,0.0511397048830986,,,,,
6,759,,0.06881268322467804,,,,,
6,769,,0.06452591717243195,,,,,
6,779,,0.049133505672216415,,,,,
6,789,,0.0599515400826931,,,,,
6,799,,0.06068095192313194,,,,,
6,809,,0.05141066014766693,,,,,
6,818,,,0.05064791068434715,55335.80859375,0.05578150600194931,0.20331579446792603,0.05578150600194931
6,818,0.060098957270383835,,,,,,
