epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,8,,,0.7431055307388306,2138370.0,0.7891950011253357,2.0,0.7891950011253357
0,8,0.6403642892837524,,,,,,
1,9,,0.5641193389892578,,,,,
1,17,,,0.5982474088668823,879808.8125,0.6486556529998779,1.9913376569747925,0.6486556529998779
1,17,0.5403478145599365,,,,,,
2,19,,0.4882955849170685,,,,,
2,26,,,0.47570642828941345,1131410.875,0.5214270353317261,1.9401270151138306,0.5214270353317261
2,26,0.4479014575481415,,,,,,
3,29,,0.43620795011520386,,,,,
3,35,,,0.37835022807121277,2366570.0,0.41655322909355164,1.3682352304458618,0.41655322909355164
3,35,0.38437801599502563,,,,,,
4,39,,0.38704025745391846,,,,,
4,44,,,0.3217174708843231,3546163.5,0.3473558723926544,1.004359245300293,0.3473558723926544
4,44,0.3325459957122803,,,,,,
5,49,,0.34633269906044006,,,,,
5,53,,,0.2940868139266968,4326767.5,0.31767404079437256,0.8732380270957947,0.31767404079437256
5,53,0.33003804087638855,,,,,,
6,59,,0.33729687333106995,,,,,
6,62,,,0.2857959568500519,4413111.0,0.3104696273803711,0.8421745896339417,0.3104696273803711
6,62,0.2967034578323364,,,,,,
7,69,,0.32362979650497437,,,,,
7,71,,,0.2876698970794678,3972373.25,0.3117143511772156,0.8621472120285034,0.3117143511772156
7,71,0.2935205399990082,,,,,,
8,79,,0.2686625123023987,,,,,
8,80,,,0.2870148718357086,3722263.5,0.3110469877719879,0.8690472841262817,0.3110469877719879
8,80,0.28681680560112,,,,,,
9,89,,0.2562437653541565,,,,,
9,89,,,0.28606873750686646,3586371.25,0.3104330599308014,0.8705222606658936,0.3104330599308014
9,89,0.2738302946090698,,,,,,
