epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,0.2302580028772354,,,,,
0,19,,0.09307010471820831,,,,,
0,29,,0.06652694940567017,,,,,
0,39,,0.09563732147216797,,,,,
0,49,,0.07376805692911148,,,,,
0,59,,0.07796664535999298,,,,,
0,69,,0.06841596215963364,,,,,
0,79,,0.06369934976100922,,,,,
0,89,,0.05931742116808891,,,,,
0,99,,0.07501707226037979,,,,,
0,109,,0.08157168328762054,,,,,
0,119,,0.06991668790578842,,,,,
0,129,,0.06419862806797028,,,,,
0,139,,0.0595955066382885,,,,,
0,139,,,0.052985869348049164,246514.71875,0.05735059827566147,0.24848678708076477,0.05735059827566147
0,139,0.12057457119226456,,,,,,
1,149,,0.06853845715522766,,,,,
1,159,,0.11038115620613098,,,,,
1,169,,0.09839821606874466,,,,,
1,179,,0.09488648921251297,,,,,
1,189,,0.08095283061265945,,,,,
1,199,,0.08360178768634796,,,,,
1,209,,0.06503947079181671,,,,,
1,219,,0.07108746469020844,,,,,
1,229,,0.08088311553001404,,,,,
1,239,,0.05920138210058212,,,,,
1,249,,0.0742795467376709,,,,,
1,259,,0.07489795982837677,,,,,
1,269,,0.06993214786052704,,,,,
1,279,,0.07330219447612762,,,,,
1,279,,,0.04735719412565231,175408.75,0.050792302936315536,0.24256554245948792,0.050792302936315536
1,279,0.07524090260267258,,,,,,
2,289,,0.09753813594579697,,,,,
2,299,,0.0584319569170475,,,,,
2,309,,0.06463661789894104,,,,,
2,319,,0.08777844160795212,,,,,
2,329,,0.07267556339502335,,,,,
2,339,,0.12565699219703674,,,,,
2,349,,0.0863303616642952,,,,,
2,359,,0.07948750257492065,,,,,
2,369,,0.049084827303886414,,,,,
2,379,,0.054986339062452316,,,,,
2,389,,0.05332149192690849,,,,,
2,399,,0.05497707054018974,,,,,
2,409,,0.06623652577400208,,,,,
2,419,,0.07356302440166473,,,,,
2,419,,,0.038903653621673584,280226.28125,0.04317915812134743,0.21483114361763,0.04317915812134743
2,419,0.07436399906873703,,,,,,
3,429,,0.06879127025604248,,,,,
3,439,,0.07886163145303726,,,,,
3,449,,0.062042511999607086,,,,,
3,459,,0.06065919250249863,,,,,
3,469,,0.0683421790599823,,,,,
3,479,,0.0809924304485321,,,,,
3,489,,0.06004830822348595,,,,,
3,499,,0.0822613388299942,,,,,
3,509,,0.04589904099702835,,,,,
3,519,,0.06541295349597931,,,,,
3,529,,0.09004362672567368,,,,,
3,539,,0.08301692456007004,,,,,
3,549,,0.062467802315950394,,,,,
3,559,,0.07158485800027847,,,,,
3,559,,,0.06610683351755142,206812.375,0.06838677823543549,0.2614922523498535,0.06838677823543549
3,559,0.06821892410516739,,,,,,
4,569,,0.07468238472938538,,,,,
4,579,,0.06501737982034683,,,,,
4,589,,0.05576195940375328,,,,,
4,599,,0.05589808151125908,,,,,
4,609,,0.062036383897066116,,,,,
4,619,,0.050161153078079224,,,,,
4,629,,0.05583591014146805,,,,,
4,639,,0.07403154671192169,,,,,
4,649,,0.06423313915729523,,,,,
4,659,,0.07808592170476913,,,,,
4,669,,0.0794643834233284,,,,,
4,679,,0.06370832026004791,,,,,
4,689,,0.08556172251701355,,,,,
4,699,,0.0610550232231617,,,,,
4,699,,,0.04523918405175209,190420.03125,0.04877030476927757,0.23092098534107208,0.04877030476927757
4,699,0.06665034592151642,,,,,,
5,709,,0.06429672986268997,,,,,
5,719,,0.059407107532024384,,,,,
5,729,,0.06917700916528702,,,,,
5,739,,0.0752786174416542,,,,,
5,749,,0.06706272810697556,,,,,
5,759,,0.06245452165603638,,,,,
5,769,,0.05950360745191574,,,,,
5,779,,0.06253986060619354,,,,,
5,789,,0.0543488971889019,,,,,
5,799,,0.09639398753643036,,,,,
5,809,,0.10163269191980362,,,,,
5,819,,0.06071392446756363,,,,,
5,829,,0.060632914304733276,,,,,
5,839,,0.07407543808221817,,,,,
5,839,,,0.051785048097372055,196065.5625,0.05566122382879257,0.24651400744915009,0.05566122382879257
5,839,0.06403756141662598,,,,,,
