epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,8,,,0.43187037110328674,7995786.5,0.4838502109050751,1.0196712017059326,0.4838502109050751
0,8,0.5715487003326416,,,,,,
1,9,,0.5903562307357788,,,,,
1,17,,,0.42934274673461914,7964687.0,0.4811379015445709,1.0176385641098022,0.4811379015445709
1,17,0.567942202091217,,,,,,
2,19,,0.5454937815666199,,,,,
2,26,,,0.4268230199813843,7933585.5,0.4784298539161682,1.0156038999557495,0.4784298539161682
2,26,0.5687829256057739,,,,,,
3,29,,0.5762026906013489,,,,,
3,35,,,0.4243152439594269,7902496.5,0.47572675347328186,1.0135725736618042,0.47572675347328186
3,35,0.5586339831352234,,,,,,
4,39,,0.5369706749916077,,,,,
4,44,,,0.42181289196014404,7871423.5,0.4730275571346283,1.0115339756011963,0.4730275571346283
4,44,0.5645827054977417,,,,,,
5,49,,0.5735894441604614,,,,,
5,53,,,0.41932129859924316,7840314.0,0.4703320860862732,1.0095075368881226,0.4703320860862732
5,53,0.5652892589569092,,,,,,
